流速	流速，是流体的流动速度。
杨薇	杨薇（1963年）是一位美籍华裔生物学家，长期任职于国家卫生院，2013年杨薇当选为美国国家科学院院士。
楤木	楤木（学名：Aralia chinensis）是五加科楤木属的植物，分布于中国大陆、台湾、越南和婆罗洲。
雪松	雪松，又称香柏或香柏木，是松科雪松属（学名：Cedrus）植物的统称。由于球果形状相似，与杉树最为接近。
袁琳	袁琳（Y袁），中国广东省广州人，是职业足球运动员，司职后卫。他是代表深圳红钻参加正式比赛次数最多的球员。
齐名	齐名是为人们习惯于将当代或前代的几个文化、技艺名家并列相称，说谁与谁名气相当接近，就因此并称为一个名号。
五间	五间，是台湾宜兰县壮围乡的一个传统地域名称，位于该乡西北部。相较于今日行政区，其范围大致为美城村西南部。
鹭鹤	鹭鹤（学名：Rhynochetos jubatus），又名卡古鸟或拟冠鹬，是新喀里多尼亚特有的一种鸟类。
市社	市社是越南的第二级行政区划单位之一。市社属于中央直辖市或者省的管辖之下，其行政级别与郡、县、省辖市同级。
粉利	粉利是主要分布于中国广西南北的一种特色小吃，主要分布于南宁市和钦州市，民间传说中与春秋时期的伍子胥有关。
交泰	交泰（五月）是南唐元宗李璟的第三个年号，共计3个月。此后南唐因对后周称臣，自去帝号、年号，尊奉后周年号。
护垫	护垫，或卫生护垫，是一种有吸收作用的女性卫生用品。多数背部有粘条，使用时可以粘在内裤内侧两腿之间的位置。
王贞	王贞，是高丽国开国君主太祖王建第十四子，母亲是神明太后刘氏。后来被追封为文元大王（문원대왕），原因不明。
键长	键长是两个成键原子A和B的平衡核间距离。它是了解分子结构的基本构型参数，也是了解化学键强弱和性质的参数。
德盛	德盛，是台湾新竹县湖口乡的一个传统地域名称，位于该区西部偏北。相较于今日行政区，其范围大致与德盛村相近。
饶介	饶介（1367年），是元朝书法家，卒于元顺帝至正二十七年（1367年）。字介之，自号华盖山樵，亦曰醉翁。
那空	那空是贪玛叻（泰语：นครศรีธรรมราช）也称洛坤，位于泰国南部马来半岛，是那空是贪玛叻府的首府。
洋酒	洋酒，指源自西洋（欧洲及北美洲地区），或是在这个地区制造的各种含酒精饮料。其中以葡萄酒、威士忌等最著名。
典权	典权是指占有、使用、收益他人不动产的一种物权。在历史上存在着以人身为对象的典权，如典妻雇子、典雇男女等。
石耳	石耳（学名：Umbilicaria esculenta），又名石壁花、岩茸或石茸，是子囊菌门石耳科菌类。
三尸	三尸是道教称存于人体的三种虫。 传说 据《洞神诀》所称，上虫彭琚白而青，中虫彭质白而黄，下虫彭矫白而黑。
马票	马票，粤语读音「马标」，是香港早年举办的一种结合赛马与搅珠的彩票形式，于1931年首次由香港赛马会发行。
苏琳	苏琳（Su Lin）是一只雌性大熊猫，2005年8月2日在美国圣地亚哥动物园出生，父母分别为高高和白云。
玄始	玄始（412年十一月-427年），或作元始，是十六国时期北凉君主，太祖武宣王沮渠蒙逊的年号，共计16年。
驼鼠	驼鼠（Cuniculus paca）是美洲热带及亚热带的一种大型啮齿目，分布在墨西哥东中部至阿根廷北部。
翻盖	翻盖是指移动电话等设备被分为上下两个部分或多个部分，而且它们彼此之间通过铰链相连，而且设备可以上下闭合。
卫嫂	卫嫂，是中华人民共和国山西省运城市闻喜县的一个特产食品品牌、三晋老字号，企业为山西卫嫂食品有限责任公司。
文和	文和（1352年11月4日至1356年4月29日）是日本北朝的年号之一。这个时代的北朝天皇是后光严天皇。
喜蜜	喜蜜，是有精美包装的小罐装蜂蜜，用于婚宴中或婚礼回礼，扮演喜糖的角色（亦可代替喜糖），寓意生活甜蜜幸福。
居鼠	居鼠（学名：Colomys goslingi）是居鼠属的唯一物种，属于哺乳纲、囓齿目、鼠科，原生于非洲。
尿道	尿道（拉丁语：urethra）是动物体内泌尿系统的器官之一。它从膀胱连通到体外，它的作用是将尿排出体外。
样本	样本（sample）是统计学术语，指从全体中随机抽取的个体。通过对样本的调查，可以大概的了解全体的情况。
蔗鼠	蔗鼠是单型科蔗鼠科（Thryonomyidae）下的2种较大型啮齿类动物的统称，分布于撒哈拉以南的非洲。
得分	得分是指在测验、体育、游戏中取得的分数。 测验 在教育领域，教师用成绩来衡量学生在一定时期内的学习状况。
宽德	宽德（1044年12月16日~1046年5月22日）是日本的年号之一。此时的天皇是后朱雀天皇与后冷泉天皇。
银狐	银狐是赤狐的一种黑变病的变异体。银狐有多种变异，包括全身黑色（除了尾巴末端是白色外）、蓝灰色及两侧呈灰色。
包茎	包茎（phimosis）是一种不能将人类阴茎包皮拉到龟头后面的病症，排尿时可能会出现包皮下似气球般的肿胀。
定理	定理（Theorem）是经过受逻辑限制的证明为真的陈述。一般来说，在数学中，只有重要或有趣的陈述才叫定理。
砂纸	砂纸是附着有研磨颗粒的纸。它用于平整物品的表面，或去除物品表面的附著物（如旧油漆），有时也用于增加摩擦力。
星舰	星舰是一种尚处于理论阶段，用来作恒星际旅行的交通工具，而一般用来做太阳系行星间或轨道飞行的机具称为航天器。
陈县	陈县是中国从先秦到汉朝时期的一古地名，是东周陈国的首都，也是张楚国的首都，位于现在河南省周口市淮阳县一带。
盛庸	盛庸（1403年），籍贯不详，是靖难之役的官军主要将领之一。曾在讨燕之役多次痛击朱棣燕军，朱棣即位后归降。
血尿	血尿（英语：Hematuria、hematuria、或 haematuria）是指尿液中带有红细胞的症状。
铭瑄	铭瑄（英文：Maxsun），是广州创维商科信息科技有限公司旗下品牌，主要产品有显卡、主板、内存和固态硬盘。
月梁	月梁是大木作构件之一，为中国、日本、朝鲜半岛、越南传统建筑中梁的一种基本类型。汉代称虹梁，宋代开始称月梁。
苎洞	苎洞，是位于韩国首尔中区的一个法定洞，隶属于明洞和乙支路洞。 概况 苎洞的名称来源于一个名叫苎布廛的商店。
锗烯	锗烯是单层锗原子构成的材料。该材料的制造工艺类似于硅烯和石墨烯，即在高真空高温环境中在基板上沉积锗原子层。
剑体	剑体是一款汉字美术字体，由中国字体设计师杨雁设计，并于2009年入围方正字库，成为一款标准化的计算机字体。
湘莲	湘莲是指产于中国湖南省的莲子，可食用也可药用，是中国三大莲子（湖南湘莲、福建建宁建莲、浙江武义宣莲）之一。
夔姓	夔姓（夔 拼音：Kuí 古音：khwey 渠追切，音同「葵」）是中文姓氏之一，在《百家姓》中排第367位。
潭酒	潭酒是四川古蔺出产的一种白酒，与著名酱香型白酒郎酒产于同县，但不同镇：潭酒产于太平镇，而郎酒则产于二郎镇。
山蝰	山蝰（学名：Daboia russelii）是山蝰属的一种毒蛇，为印度四大毒蛇之一，分布于印度及南亚一带。
艾芬	艾芬，中国女医生，武汉市中心医院急诊科主任，是2019新型冠状病毒疫情中率先向外界披露疫情的医疗人员之一。
音程	音程（Interval）是一个特定乐音体系中，两个音之间音高的距离。西方音乐体系中，音程由度数和音数决定。
牛厝	牛厝，是台湾云林县台西乡的一个传统地域名称，位于该乡东南部。相较于今日行政区，其范围大致为牛厝村东大半部。
篯吉	篯吉，是高昌回鹘亦都护纽林·的斤之子。 1283年左右，察合台汗国大汗都哇又攻哈密力，火赤哈儿·的斤被杀。
北庄	北庄，是台湾台中市神冈区的一个传统地域名称，位于该区中部。相较于今日行政区，其范围大致包括北庄里、庄后里。
圆号	圆号（cor d'harmonie，horn），或称法国号（French horn），是一种中音铜管乐器。
转位	转位是指音在音程中的互换，音程中的两个音如果低音向上提高八度，或高音向下移动八度，构成的音程称为转位音程。
吴普	吴普，广陵（今江苏江都县）人，与彭城樊阿皆是名医华佗之弟子。 生平 华佗通晓养性之术，年纪大时，仍有壮容。
台流	台流（台流、Taiwanese Wave）是日本因为台湾的流行文化普及所创造一个新词，用于区分韩国的韩流。
圣蛇	圣蛇（Snakes for the Divine）是重金属乐队High on Fire的第五张录音室专辑。
点头	点头，是一种以颈部为基点，将头部上下移动的人类礼仪，在绝大部分人类社会中表示“是”，即赞同、接受或者理解。
排便	排便（defecation），又称排遗，是动物消化过程的最后一步，将体内的废物以固体或液体的方式排出体外。
吻兽	吻兽，又称为大吻、吞脊兽，是中国及东亚古代建筑的一种标志性装饰物，通常出现在屋顶的两端，在外形上非常显眼。
一然	一然（일연，1289年）是朝鲜半岛高丽时代的僧人、高丽国师、文学家。俗名金见明，字晦然，号睦庵，法号普觉。
偷牌	偷牌（偷牌）是桥牌的一种打牌技巧，当对方的一、两张大牌配置合宜时，已方可用次大的牌戏剧性地多赢取一、两磴。
梅比	梅比（Maybee），是一个美国村庄，位于门罗县埃克塞特镇。根据2010年的人口普查，当地人口为562人。
聚兴	聚兴，是台湾台中市潭子区的一个传统地域名称，位于该区东部。相较于今日行政区，其范围大致包括新田里、聚兴里。
玉石	玉石是由角闪石类矿物组成的集合体。细小的闪石矿物晶体呈纤维状交织在一起构成致密状集合体，质地细腻，韧性好。
雪暴	雪暴（Blizzard），又称暴风雪、飞雪、豪雪，是-5℃以下大降水量天气的统称，且伴有强烈的冷空气气流。
鱼腐	鱼腐是一种使用鲮鱼肉制作、外表像油豆腐的顺德食品，因其嫩滑像豆腐得名。鱼腐原创地为罗定（一说是顺德乐从）。
朱贵	朱贵是小说《水浒传》中的一个人物，外号「旱地忽律」。沂州沂水县人，身材长大，貌相魁伟，双拳骨脸，三丫黄髯。
友蚋	友蚋，是台湾基隆市七堵区的一个地名，位于该区西北部，范围包括友一里、友二里，内有丽景天下、绿叶山庄等社区。
克舍	克舍，又作克失，是蒙古汗国瓦剌部领袖，阿失帖木儿之子。 1478年，阿失帖木儿在和林病故，子克舍嗣位太师。
爱兰	爱兰是一种乳白色的冷饮，它由三分之一的优格和三分之二的盐水搅拌而成。爱兰在中东、中亚和东南欧地区非常流行。
陆丽	陆丽，鲜卑姓步六孤氏，鲜卑名可能是伊□，封平原王，谥号简，是鲜卑政权北魏文成帝一朝的高官，官至司徒、侍中。
乌赖	乌赖（Urāy），是尼泊尔加德满都的尼瓦尔佛教商人种姓。他们是在加德满都的商业和文化生活的一个突出的社群。
塔诗	塔诗，又称宝塔诗、阶梯诗，或一字至七字诗，是由字数长短不等的诗句组成，通常相邻两具之间的字数相差一或二字。
